"","fips","year","county","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty"
"1",6001,2010,"Alameda",1,1.5,0.334264571722751,0.5,14,3.1,3.5,7,14
"2",6001,2011,"Alameda",1.0003954260391,2.38345692414872,0.333732956613476,0.866045516958974,14.3,3,3.3,7.07,12.9
"3",6001,2012,"Alameda",1,1.5,0.374954373726536,1.09150730094674,15.1,3.1,3.4,7.1,17.2
"4",6001,2013,"Alameda",1,1.5,0.480915695218787,NA,13.4,2.7,7.1,7.1,16.8
"5",6001,2014,"Alameda",1,1.5,0.427611646111393,NA,14.5,3,3.2,7.2,17.3
"6",6001,2015,"Alameda",0.994571718195641,1.5,0.383419756214284,0.403554363725012,14.5,3,3.2,7.250089991,15.4
"7",6001,2016,"Alameda",1,1.5,0.38616993478775,2.13310390460668,13,3.4,3.3,7.24314432,14.3
"8",6003,2010,"Alpine",1,1.5,0.0300367647058824,NA,NA,NA,NA,NA,24
"9",6003,2011,"Alpine",1,NA,0.02,NA,NA,NA,NA,NA,28.2
"10",6003,2012,"Alpine",1,NA,0.02,NA,NA,NA,NA,NA,29.2
"11",6003,2013,"Alpine",1,NA,0.0366997518610422,0.5,NA,NA,NA,NA,29.3
"12",6003,2014,"Alpine",1,NA,0.0338071605813541,1.66,NA,NA,NA,NA,29.1
"13",6003,2015,"Alpine",1,NA,0.2385559566787,0.22,NA,NA,NA,NA,31.9
"14",6003,2016,"Alpine",1,NA,0.209202410492733,NA,15.6,4.2,4.1,NA,28.2
"15",6005,2010,"Amador",1,NA,1.49333423107999,2.25661016949153,18,3.8,3.5,5,14
"16",6005,2011,"Amador",1,NA,2.03532605203983,0.559377494014366,19.4,4.6,4.2,4.9,13.6
"17",6005,2012,"Amador",NA,NA,2.49059487179487,0.499819616685457,17.5,4.2,4.1,4.8,17
"18",6005,2013,"Amador",1,NA,0.0406083870967742,3.31786941580756,11.9,2.9,4.9,4.9,19.3
"19",6005,2014,"Amador",1,NA,0.0331335483870968,8.386,17.5,4,4.2,5.3,18.5
"20",6005,2015,"Amador",1,NA,0.300063737623762,2.46230769230769,17.5,4,4.2,5.867475974,22.1
"21",6005,2016,"Amador",1,NA,0.210456102397692,1.42694677871148,12.7,3.5,3.5,6.313645621,18.6
"22",6007,2010,"Butte",3.51075305946275,1.5,1.66767350408094,1.09403543307087,14,4,3.6,6,21
"23",6007,2011,"Butte",1.040025537156,1.5,1.06001301983218,0.507049065654042,12.9,4,3.8,5.91,26
"24",6007,2012,"Butte",1.08286563835718,1.5,1.54801566151001,0.633796310413173,14.2,4.3,4.3,5.9,25.1
"25",6007,2013,"Butte",1.4073453813868,NA,1.38093909615812,2.02465346534653,11.8,3.5,5.8,5.8,28
"26",6007,2014,"Butte",0.826812499518004,1.5,1.41839021088432,1.03139926648847,17.3,4.5,4.5,5.9,27.1
"27",6007,2015,"Butte",1,NA,1.766902936548,0.512719939690916,17.3,4.5,4.5,5.814556561,25
"28",6007,2016,"Butte",1.1280693415601,1.5,1.33533477562053,0.473961957560696,15.2,4.2,4.2,5.810629485,24.3
"29",6009,2010,"Calaveras",0.974942726231386,NA,0.200389634795682,1.57714285714286,14,4.5,2.3,6,14
"30",6009,2011,"Calaveras",1.00454005727457,NA,0.158380727153871,4.90345695814903,16.4,4,3,5.85,17
"31",6009,2012,"Calaveras",1,NA,0.15112218307657,NA,14.2,4.1,2.9,6.3,18.3
"32",6009,2013,"Calaveras",1,1.5,0.0952275733460546,2.39658848614072,9.7,1.9,5.9,5.9,20.4
"33",6009,2014,"Calaveras",1,NA,0.0714663827198053,12.02,21.4,4.3,4.3,5.5,20.9
"34",6009,2015,"Calaveras",1,NA,0.22169186190166,1.25,21.4,4.3,4.3,5.156683856,21.8
"35",6009,2016,"Calaveras",1,NA,0.269370848259312,0.872607022607023,11.8,3.3,3.5,4.827586207,20.6
"36",6011,2010,"Colusa",8.40875070661391,NA,0.589738479486681,NA,NA,NA,NA,4,19
"37",6011,2011,"Colusa",6.88848866876782,NA,0.7796361620641,0.5,NA,NA,NA,4.17,19.4
"38",6011,2012,"Colusa",8.31505158578525,NA,0.6119208984375,NA,NA,3.8,1.7,4.8,22.9
"39",6011,2013,"Colusa",2.33,NA,0.998299232736573,NA,NA,1.3,5.3,5.3,19.5
"40",6011,2014,"Colusa",4.5615141955836,NA,0.605842924126172,NA,NA,2.9,2.6,5.5,20.2
"41",6011,2015,"Colusa",5.80958549222798,NA,0.121245059288538,0.9,NA,2.9,2.6,5.899104963,20
"42",6011,2016,"Colusa",3.57355679702048,NA,0.641497229326513,2.03473358908781,20.8,4.3,4,6.047879042,19.9
"43",6013,2010,"Contra Costa",1.20340687156672,1.5,0.415755552247343,0.520474001268231,14,3.4,3.8,7,12
"44",6013,2011,"Contra Costa",1.00722457189454,1.5,0.301813521673496,4.64214876033058,14.7,3.6,3.9,6.63,12.4
"45",6013,2012,"Contra Costa",1.07828714021836,1.5,0.365482107162747,5.45020862095413,14.9,3.4,3.6,6.6,12.7
