"COUNTY","ZIPCODE","POPULATION","SERVICE_CONNECTIONS","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","ENF_ACTION_TYPE_ISSUED","year_violation","daystaken"
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.0132 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC",".0127 MG/L",NA,"RETURN TO COMPLIANCE","2014",91
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2015",90
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"CONTRA COSTA",94548,350,3,"MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,"RETURN TO COMPLIANCE","2016",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L","INFORMAL ENFORCEMENT ACTION ISSUED","2014",90
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.023 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.027 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",121
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","28.5 UG/L",NA,"RETURN TO COMPLIANCE","2017",89
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.024 MG/L",NA,"RETURN TO COMPLIANCE","2015",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.020 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.023 MG/L",NA,"RETURN TO COMPLIANCE","2014",89
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","0.022 MG/L",NA,"RETURN TO COMPLIANCE","2013",89
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","34.0 UG/L",NA,"RETURN TO COMPLIANCE","2017",91
"CONTRA COSTA",94550,49,18,"MCL,  AVERAGE","ARSENIC","33 UG/L",NA,"RETURN TO COMPLIANCE","2018",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC",".02250000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC",".02150000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","20.0 UG/L","10.0 UG/L","RETURN TO COMPLIANCE","2013",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","20.3 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.0208 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.0165 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.020 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"FRESNO",93656,660,153,"MCL,  AVERAGE","ARSENIC","0.020 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
